발화ID,라즈베리파이_원본텍스트,서버_최종_교정본,RAG_매칭여부
242,ホテルの向かい側に、二十四時間営業 of コンビニがあります。,ホテルの向かい側に、二十四時間営業のコンビニがあります。,RAG매칭
243,この道をずっと進むと、突き当たりに大きな公園が見えます。,この道をずっと進むと、突き当たりに大きな公園が見えます。,RAG매칭
244,階段を上って二階に上がると、右手に受付がございます。,階段を上って二階に上がると、右手に受付がございます。,RAG매칭
245,北口の改札を出てすぐのところに、案内図が設置されています。,北口の改札を出てすぐのところに、案内図が設置されています。,RAG매칭
246,駐車場の入り口は、建物の裏側にございますのでご注意ください。,駐車場の入り口は、建物の裏側にございますのでご注意ください。,RAG매칭
247,図書館に行って勉強をしましたが、あまり集中できませんでした。,図書館に行って勉強をしましたが、あまり集中できませんでした。,RAG매칭
248,友達と一緒に美味しいお寿司を食べに行きました。,友達と一緒に美味しいお寿司を食べに行きました。,RAG매칭
249,週末に家族と一緒に映画館へ行って、話題の映画を見ました。,週末に家族と一緒に映画館へ行って、話題の映画を見ました。,RAG매칭
250,先生に質問をしたら、とても親切に教えてくれました。,先生に質問をしたら、とても親切に教えてくれました。,RAG매칭
251,病院の予約が十時なので、急いで行かなければなりません。,病院の予約が十時なので、急いで行かなければなりません。,RAG매칭
252,飛行機のチケットをインターネットで予約しました。,飛行機のチケットをインターネットで予約しました。,RAG매칭
253,昨日はたくさん歩いたので、足がとても疲れました。,昨日はたくさん歩いたので、足がとても疲れました。,RAG매칭
254,毎日日本語の単語を五十個ずつ覚えるようにしています。,毎日日本語の単語を五十個ずつ覚えるようにしています。,RAG매칭
255,お茶を飲みながら、これからの計画について話し合いました。,お茶を飲みながら、これからの計画について話し合いました。,RAG매칭
256,自転車に乗って近くの公園まで遊びに行きました。,自転車に乗って近くの公園まで遊びに行きました。,RAG매칭
257,東京特許許可局の局長が、今日新しいプロジェクトを発表しました。,東京特許許可局の局長が、今日新しいプロジェクトを発表しました。,RAG매칭
258,新人歌手の新春シャンソンショーが、まもなく開催されます。,新人歌手の新春シャンソンショーが、まもなく開催されます。,RAG매칭
259,隣の客はよく柿食う客だという有名な言葉があります。,隣の客はよく柿を食う客だという有名な言葉があります。,RAG매칭
260,坊主が屏風に上手に坊主の絵を描いたそうです。,坊主が屏風に上手に坊主の絵を描いたそうです。,RAG매칭
261,赤パプリカ黄パプリカ青パプリカを市場でたくさん買いました。,赤パプリカ黄パプリカ青パプリカを市場でたくさん買いました。,RAG매칭
262,バスガス爆発という言葉を三回続けて言うのは難しいです。,バスガス爆発という言葉を三回続けて言うのは難しいです。,RAG매칭
263,右目右耳右耳右目と順番に触る運動をしてください。,右目、右耳、右耳、右目と順番に触る運動をしてください。,RAG매칭
264,骨粗鬆症の予防のために、毎日カルシウムを摂取しています。,骨粗鬆症の予防のために、毎日カルシウムを摂取しています。,RAG매칭
265,輸出工場輸出効率の向上に向けた新しい会議を行います。,輸出工場の輸出効率の向上に向けた新しい会議を行います。,RAG매칭
266,暖かかったから上着を脱いで散歩に出かけました。,暖かかったから上着を脱いで散歩に出かけました。,RAG매칭
267,来週の旅行なんだど、天気が悪そうなら予定を変更した方がいいんじゃない？,来週の旅行が悪そうなら、予定を変更した方がいいんじゃない？,RAG매칭
268,お腹空いたし、近くのレストランで何か温かいものでも食べない？,お腹空いたし、近くのレストランで何か温かいものでも食べない？,RAG매칭
269,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,明日の約束の時間に遅れそうなら、速攻で連れてって下さい。,RAG매칭
270,最近仕事忙しくてさ、週末ゆっくり休む時間まじでないわ。,最近仕事忙しくてさ、週末ゆっくり休む時間はまじでないわ。,RAG매칭
271,この服デザインはいいけど、ちょっとサイズ小さい気がする。,この服のデザインはいいけど、ちょっとサイズが小さい気がする。,RAG매칭
272,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,友達の誕生日に何を、何をプレゼントしたらいいか悩んでる。,RAG매칭
273,映画見に行きたいんだけど、一緒に行く人おらんくて困ってる。,映画見に行きたいんだけど、一緒に行ける人いないんだけど困ってる。,RAG매칭
274,日本の文化に興味あるから、いつかきょとに行ってみたい。,日本の文化に興味があるから、いつか日本に旅行したい。,RAG매칭
275,コーヒーを飲みながら、静カフェで本を読むのが好き。,コーヒーを飲みながら、静カフェで本を読むのが好きです。,RAG매칭
276,終電の時間確認しとかないと、帰れなくなるかも。,終電の時間確認しとかないと、帰れなくなるかも。,RAG매칭
277,明日の会議は午後さんじはんからに変更になったので。,明日の会議は午後三時からに変更になったので。,RAG매칭
278,提出期限は今週の金曜日の午後五時までととなっております。,提出期限は今週の金曜日の午後五時までととなっております。,RAG매칭
279,今回のぽろじぇくとの予算案、今日中に確認してメールして。,今回のポロジェクトの予算案、今日中に確認してメールします。,RAG매칭
280,資料の作成が終わったら、一回チェックして下さい。,資料の作成が終わったら、一回チェックして下さい。,RAG매칭
281,来月のスケジュール、調整が必要なとこあります。,来月のスケジュール、調整が必要なところがあります。,RAG매칭
282,お手数かけますが、こっちの書類にサインお願いします。,お手数ですが、こっちの書類にサインをお願いします。,RAG매칭
283,駅から会社までは歩いてじゅうごふんくらいかかります。,駅から会社までは歩いてじゅうごふんくらいかかります。,RAG매칭
284,さっき送ったメールのてんぷふぁいる見てください。,さっき送ったメールのテンプファイルを見てください。,RAG매칭
285,本日の営業時間は午後八時で終了しました。,本日の営業時間は午後八時で終了しました。,RAG매칭
286,新しいくらいあんととの打ち合わせは来週の水曜。,新しいくらいのあんととの打ち合わせは来週の水曜日です。,RAG매칭
287,ここをますぐ行って、二つ目の交差点を右に曲がると。,ここをすぐ行って、二つ目の交差点を右に曲がると。,RAG매칭
288,横断歩道に渡ってから、左側に大きなビルが見えます。,横断歩道に渡ってから、左側に大きなビルが見えます。,RAG매칭
289,しんじゅくえきの東口を出て、五分ほど歩いたとこ。,しんじゅくえきの東口を出て、五分ほど歩いたところ。,RAG매칭
290,そのビルの地下にあるきさてんは、とても雰囲気が良い。,そのビルの地下にあるきさてんは、とても雰囲気が良い。,RAG매칭
291,信号を渡らないで、手前の角を左に曲がって。,信号を渡らないで、手前の角を左に曲がって。,RAG매칭
292,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,ホテルの向かい側に、にじゅうよんじ営業のコンビニがある。,RAG매칭
293,この道をずーーっと進むと、突き当たりに公園が見える。,この道をずーーっと進むと、突き当たりに公園が見える。,RAG매칭
294,階段上がって二階に行くと、右側が受付です。,階段上がって二階に行くと、右側が受付です。,RAG매칭
295,北口の改札を出てすぐのところに、マップがあります。,北口の改札を出てすぐのところに、マップがあります。,RAG매칭
296,駐車場の入り口は、建物の裏側にありますので。,駐車場の入り口は、建物の裏側にありますので。,RAG매칭
297,としょかんに行って勉強したけど、集中できなかった。,としょかんに行って勉強したけど、集中できなかった。,RAG매칭
298,友達と一緒に美味しいおすしを食べに行った。,友達と一緒に美味しいおすしを食べに行った。,RAG매칭
299,週末に家族とえいがかんに行って映画を見た。,週末に家族とえいがかんに行って映画を見た。,RAG매칭
300,先生に質問したら、親切に教えてくれた。,先生に質問したら、親切に教えてくれた。,RAG매칭
301,びょういんの予約が十時だから、急いで行かないと。,びょういんの予約が十時だから、急いで行かないと。,RAG매칭
302,飛行機のチケットをいんたーねっとで予約した。,飛行機のチケットをいんたーねっとで予約した。,RAG매칭
303,昨日はたくさん歩いたから、足が疲れた。,昨日はたくさん歩いたから、足が疲れた。,RAG매칭
304,毎日日本語の単語を五個ずつずつ覚えるようにしてる。,毎日日本語の単語を五個ずつ覚えるようにしてる。,RAG매칭
305,お茶を飲みながら、これからの計画について話した。,お茶を飲みながら、これからの計画について話した。,RAG매칭
306,じてんしゃに乗って近くの公園まで行った。,じてんしゃに乗って近くの公園まで行った。,RAG매칭
307,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,東京特許許可局のこうちょうが、新しいプロジェクトを発表した。,RAG매칭
308,新人歌手の新春しゃんそんそーが、まもなく始まる。,新しく歌手になった新春しゃんそんそーが、まもなく始まる。,RAG매칭
309,隣の客はよく柿食う客だってさ。,隣の客はよく柿を食う客だってさ。,RAG매칭
310,坊主が屏風にうまく坊主の絵を描いた。,坊主が屏風にうまく坊主の絵を描いた。,RAG매칭
311,黄パプリカ赤パプリカ青パプリカをたくさん買った。,黄パプリカ赤パプリカ青パプリカをたくさん買った。,RAG매칭
312,ばすがすばくはつって三回言うの難しい。,バスがすばくはつって三回言うのは難しい。,RAG매칭
313,右目、みじみみ、右目と順番に触って。,右目、みじみみ、右目と順番に触って。,RAG매칭
314,こつそしょうしょうのために、毎日カルシウム飲んでる。,こつそしょうしょうのために、毎日カルシウムを飲んでいます。,RAG매칭
315,ゆしゅつこうじょうの効率向上のための会議。,ゆしゅつこうじょうの効率向上のための会議。,RAG매칭
316,あったかかったから上着脱いで散歩行った。,あったかかったから上着を脱いで散歩に行った。,RAG매칭
